"search-number","evaluation","number-of-cars*","mean_acceleration*","mean-deceleration*","max-patience*","distance-between-nodes*","number-of-lanes*","length-of-node*","cars-per-mile-mean*","sec-per-tick*","feet-per-unit*","node-power-output*","ev-density-percent*","crr*","electricity-cost*","cda*","fitness","num-replicates","best-fitness-so-far"
"1","385","3","0.527","0.66","35","14","2","1","48","0.1","15","8","20","0.01","8","0.5","-395.82545568471994","5","-586.6400719605733"
"1","390","3","0.527","0.66","35","16","2","1","48","0.1","15","0","20","0.01","8","0.5","-442.55023974792687","5","-586.6400719605733"
"1","395","3","0.527","0.66","35","38","2","1","48","0.1","15","13","20","0.01","8","0.5","-102.38567707007576","5","-586.6400719605733"
"1","400","3","0.527","0.66","35","28","2","1","48","0.1","15","10","20","0.01","8","0.5","-135.48242967399108","5","-586.6400719605733"
"1","405","3","0.527","0.66","35","12","2","2","48","0.1","15","13","20","0.01","8","0.5","49.304452518277174","5","-586.6400719605733"
"1","410","3","0.527","0.66","35","28","2","1","48","0.1","15","32","20","0.01","8","0.5","144.89742960179402","5","-586.6400719605733"
"1","415","3","0.527","0.66","35","14","2","1","48","0.1","15","0","20","0.01","8","0.5","-552.512438511423","5","-586.6400719605733"
"1","420","3","0.527","0.66","35","12","2","1","48","0.1","15","8","20","0.01","8","0.5","-383.9070679840433","5","-586.6400719605733"
"1","425","3","0.527","0.66","35","38","2","1","48","0.1","15","14","20","0.01","8","0.5","-296.8066938596313","5","-586.6400719605733"
"1","430","3","0.527","0.66","35","38","2","1","48","0.1","15","8","20","0.01","8","0.5","-303.1226614543933","5","-586.6400719605733"
"1","435","3","0.527","0.66","35","12","2","1","48","0.1","15","14","20","0.01","8","0.5","-129.03033513341822","5","-586.6400719605733"
"1","440","3","0.527","0.66","35","10","2","1","48","0.1","15","0","20","0.01","8","0.5","-545.0162090544305","5","-586.6400719605733"
"1","445","3","0.527","0.66","35","12","2","1","48","0.1","15","7","20","0.01","8","0.5","-510.60077104994133","5","-586.6400719605733"
"1","450","3","0.527","0.66","35","12","2","1","48","0.1","15","12","20","0.01","8","0.5","-318.70165347265294","5","-586.6400719605733"
"1","455","3","0.527","0.66","35","12","2","1","48","0.1","15","11","20","0.01","8","0.5","-251.72552934473174","5","-586.6400719605733"
"1","460","3","0.527","0.66","35","12","2","1","48","0.1","15","6","20","0.01","8","0.5","-408.2462183720522","5","-586.6400719605733"
"1","465","3","0.527","0.66","35","12","2","1","48","0.1","15","4","20","0.01","8","0.5","-460.1960789261149","5","-586.6400719605733"
"1","470","3","0.527","0.66","35","18","2","1","48","0.1","15","0","20","0.01","8","0.5","-493.04601387823703","5","-586.6400719605733"
"1","475","3","0.527","0.66","35","12","2","1","48","0.1","15","23","20","0.01","8","0.5","-97.03154732535816","5","-586.6400719605733"
"1","480","3","0.527","0.66","35","12","2","1","48","0.1","15","16","20","0.01","8","0.5","-196.62813266211592","5","-586.6400719605733"
"1","485","3","0.527","0.66","35","12","2","1","48","0.1","15","19","20","0.01","8","0.5","-211.9496400913093","5","-586.6400719605733"
"1","490","3","0.527","0.66","35","12","2","1","48","0.1","15","3","20","0.01","8","0.5","-480.21470589117996","5","-586.6400719605733"
"1","495","3","0.527","0.66","35","20","2","1","48","0.1","15","0","20","0.01","8","0.5","-284.42604606794157","5","-586.6400719605733"
"1","500","3","0.527","0.66","35","12","2","1","48","0.1","15","49","20","0.01","8","0.5","709.2511676505669","5","-586.6400719605733"
