"search-number","evaluation","evals-requested-so-far","number-of-cars*","mean_acceleration*","mean-deceleration*","max-patience*","distance-between-nodes*","number-of-lanes*","length-of-node*","cars-per-mile-mean*","sec-per-tick*","feet-per-unit*","node-power-output*","ev-density-percent*","crr*","electricity-cost*","cda*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","39","250","3","0.527","0.66","35","34","2","3","48","0.1","15","50","20","0.01","8","0.5","""1710808573""","2628.814695258026","2628.814695258026","2628.814695258026","0","2628.814695258026"
"1","40","250","3","0.527","0.66","35","34","2","3","48","0.1","15","50","20","0.01","8","0.5","""-2047619456""","1660.4261046468193","1660.4261046468193","1660.4261046468193","0","1660.4261046468193"
"1","41","250","3","0.527","0.66","35","30","2","1","48","0.1","15","106","20","0.01","8","0.5","""-1573713769""","723.4555676423479","723.4555676423479","723.4555676423479","0","723.4555676423479"
"1","42","250","3","0.527","0.66","35","30","2","1","48","0.1","15","106","20","0.01","8","0.5","""1045123094""","2117.3968420276697","2117.3968420276697","2117.3968420276697","0","2117.3968420276697"
"1","43","250","3","0.527","0.66","35","30","2","1","48","0.1","15","106","20","0.01","8","0.5","""-1339797128""","941.3161236861803","941.3161236861803","941.3161236861803","0","941.3161236861803"
"1","44","250","3","0.527","0.66","35","30","2","1","48","0.1","15","106","20","0.01","8","0.5","""11624174""","2561.1787607444476","2561.1787607444476","2561.1787607444476","0","2561.1787607444476"
"1","45","250","3","0.527","0.66","35","30","2","1","48","0.1","15","106","20","0.01","8","0.5","""2068063617""","1015.6320441150615","1015.6320441150615","1015.6320441150615","0","1015.6320441150615"
"1","46","250","3","0.527","0.66","35","36","2","1","48","0.1","15","76","20","0.01","8","0.5","""-1718755077""","806.3777775930307","806.3777775930307","806.3777775930307","0","806.3777775930307"
"1","47","250","3","0.527","0.66","35","36","2","1","48","0.1","15","76","20","0.01","8","0.5","""-2006004039""","760.0647497253129","760.0647497253129","760.0647497253129","0","760.0647497253129"
"1","48","250","3","0.527","0.66","35","36","2","1","48","0.1","15","76","20","0.01","8","0.5","""1486394735""","514.9137707132395","514.9137707132395","514.9137707132395","0","514.9137707132395"
"1","49","250","3","0.527","0.66","35","36","2","1","48","0.1","15","76","20","0.01","8","0.5","""-1934491213""","-61.635276664470894","-61.635276664470894","-61.635276664470894","0","-61.635276664470894"
"1","50","250","3","0.527","0.66","35","36","2","1","48","0.1","15","76","20","0.01","8","0.5","""-1433706069""","577.082466020366","577.082466020366","577.082466020366","0","577.082466020366"
"1","51","250","3","0.527","0.66","35","10","2","3","48","0.1","15","134","20","0.01","8","0.5","""1252738940""","10504.578118277333","10504.578118277333","10504.578118277333","0","10504.578118277333"
"1","52","250","3","0.527","0.66","35","10","2","3","48","0.1","15","134","20","0.01","8","0.5","""-1764342837""","9821.489987365056","9821.489987365056","9821.489987365056","0","9821.489987365056"
"1","53","250","3","0.527","0.66","35","10","2","3","48","0.1","15","134","20","0.01","8","0.5","""-1005122063""","6068.201235613521","6068.201235613521","6068.201235613521","0","6068.201235613521"
"1","54","250","3","0.527","0.66","35","10","2","3","48","0.1","15","134","20","0.01","8","0.5","""-67715848""","6048.91414693988","6048.91414693988","6048.91414693988","0","6048.91414693988"
"1","55","250","3","0.527","0.66","35","10","2","3","48","0.1","15","134","20","0.01","8","0.5","""511379890""","14305.397364263177","14305.397364263177","14305.397364263177","0","14305.397364263177"
"1","56","250","3","0.527","0.66","35","18","2","2","48","0.1","15","30","20","0.01","8","0.5","""-998965092""","1041.5725726837518","1041.5725726837518","1041.5725726837518","0","1041.5725726837518"
"1","57","250","3","0.527","0.66","35","18","2","2","48","0.1","15","30","20","0.01","8","0.5","""1761319684""","383.7133572547411","383.7133572547411","383.7133572547411","0","383.7133572547411"
"1","58","250","3","0.527","0.66","35","18","2","2","48","0.1","15","30","20","0.01","8","0.5","""1325816128""","499.01369258459124","499.01369258459124","499.01369258459124","0","499.01369258459124"
"1","59","250","3","0.527","0.66","35","18","2","2","48","0.1","15","30","20","0.01","8","0.5","""-644894439""","977.0360076772331","977.0360076772331","977.0360076772331","0","977.0360076772331"
"1","60","250","3","0.527","0.66","35","18","2","2","48","0.1","15","30","20","0.01","8","0.5","""-2063775035""","671.9986439829133","671.9986439829133","671.9986439829133","0","671.9986439829133"
"1","61","250","3","0.527","0.66","35","12","2","3","48","0.1","15","134","20","0.01","8","0.5","""579500940""","5006.265413384137","5006.265413384137","5006.265413384137","0","5006.265413384137"
"1","62","250","3","0.527","0.66","35","12","2","3","48","0.1","15","134","20","0.01","8","0.5","""1837842448""","5016.795690046548","5016.795690046548","5016.795690046548","0","5016.795690046548"
"1","63","250","3","0.527","0.66","35","12","2","3","48","0.1","15","134","20","0.01","8","0.5","""773661573""","13156.080938643514","13156.080938643514","13156.080938643514","0","13156.080938643514"
"1","64","250","3","0.527","0.66","35","12","2","3","48","0.1","15","134","20","0.01","8","0.5","""1929201167""","5033.640108925419","5033.640108925419","5033.640108925419","0","5033.640108925419"
"1","65","250","3","0.527","0.66","35","12","2","3","48","0.1","15","134","20","0.01","8","0.5","""-1988225313""","5033.195160743634","5033.195160743634","5033.195160743634","0","5033.195160743634"
"1","66","250","3","0.527","0.66","35","20","2","3","48","0.1","15","66","20","0.01","8","0.5","""1004063685""","1978.816033988146","1978.816033988146","1978.816033988146","0","1978.816033988146"
"1","67","250","3","0.527","0.66","35","20","2","3","48","0.1","15","66","20","0.01","8","0.5","""-254890263""","2482.9868608220745","2482.9868608220745","2482.9868608220745","0","2482.9868608220745"
"1","68","250","3","0.527","0.66","35","20","2","3","48","0.1","15","66","20","0.01","8","0.5","""646620""","3836.399521253721","3836.399521253721","3836.399521253721","0","3836.399521253721"
"1","69","250","3","0.527","0.66","35","20","2","3","48","0.1","15","66","20","0.01","8","0.5","""105177856""","2812.065788744539","2812.065788744539","2812.065788744539","0","2812.065788744539"
"1","70","250","3","0.527","0.66","35","20","2","3","48","0.1","15","66","20","0.01","8","0.5","""845068732""","2014.8764365265508","2014.8764365265508","2014.8764365265508","0","2014.8764365265508"
"1","71","250","3","0.527","0.66","35","34","2","1","48","0.1","15","23","20","0.01","8","0.5","""1061568664""","-270.34015177759704","-270.34015177759704","-270.34015177759704","0","-270.34015177759704"
"1","72","250","3","0.527","0.66","35","34","2","1","48","0.1","15","23","20","0.01","8","0.5","""-748687465""","313.22290050094836","313.22290050094836","313.22290050094836","0","313.22290050094836"
"1","73","250","3","0.527","0.66","35","34","2","1","48","0.1","15","23","20","0.01","8","0.5","""-438728373""","-111.07903331191463","-111.07903331191463","-111.07903331191463","0","-111.07903331191463"
"1","74","250","3","0.527","0.66","35","34","2","1","48","0.1","15","23","20","0.01","8","0.5","""-1592872474""","156.4254278333838","156.4254278333838","156.4254278333838","0","156.4254278333838"
"1","75","250","3","0.527","0.66","35","34","2","1","48","0.1","15","23","20","0.01","8","0.5","""-1986515310""","27.875536544828833","27.875536544828833","27.875536544828833","0","27.875536544828833"
"1","76","250","3","0.527","0.66","35","10","2","3","48","0.1","15","89","20","0.01","8","0.5","""715772961""","3815.1316608790034","3815.1316608790034","3815.1316608790034","0","3815.1316608790034"
"1","77","250","3","0.527","0.66","35","10","2","3","48","0.1","15","89","20","0.01","8","0.5","""-377879636""","5540.319005713285","5540.319005713285","5540.319005713285","0","5540.319005713285"
"1","78","250","3","0.527","0.66","35","10","2","3","48","0.1","15","89","20","0.01","8","0.5","""-1496936284""","7059.890844766067","7059.890844766067","7059.890844766067","0","7059.890844766067"
"1","79","250","3","0.527","0.66","35","10","2","3","48","0.1","15","89","20","0.01","8","0.5","""-1194888270""","6301.135527888914","6301.135527888914","6301.135527888914","0","6301.135527888914"
"1","80","250","3","0.527","0.66","35","10","2","3","48","0.1","15","89","20","0.01","8","0.5","""-1085146323""","3811.2556029756206","3811.2556029756206","3811.2556029756206","0","3811.2556029756206"
"1","81","250","3","0.527","0.66","35","34","2","2","48","0.1","15","92","20","0.01","8","0.5","""2027810877""","1700.4206812927193","1700.4206812927193","1700.4206812927193","0","1700.4206812927193"
"1","82","250","3","0.527","0.66","35","34","2","2","48","0.1","15","92","20","0.01","8","0.5","""2012846291""","2150.753389655626","2150.753389655626","2150.753389655626","0","2150.753389655626"
"1","83","250","3","0.527","0.66","35","34","2","2","48","0.1","15","92","20","0.01","8","0.5","""-1001007589""","2149.040181523567","2149.040181523567","2149.040181523567","0","2149.040181523567"
"1","84","250","3","0.527","0.66","35","34","2","2","48","0.1","15","92","20","0.01","8","0.5","""1270671523""","2106.09355404077","2106.09355404077","2106.09355404077","0","2106.09355404077"
"1","85","250","3","0.527","0.66","35","34","2","2","48","0.1","15","92","20","0.01","8","0.5","""-1660271814""","2952.145392757999","2952.145392757999","2952.145392757999","0","2952.145392757999"
"1","86","250","3","0.527","0.66","35","26","2","1","48","0.1","15","179","20","0.01","8","0.5","""-1400865522""","2678.904903614337","2678.904903614337","2678.904903614337","0","2678.904903614337"
"1","87","250","3","0.527","0.66","35","26","2","1","48","0.1","15","179","20","0.01","8","0.5","""1618259952""","2199.4843053300783","2199.4843053300783","2199.4843053300783","0","2199.4843053300783"
"1","88","250","3","0.527","0.66","35","26","2","1","48","0.1","15","179","20","0.01","8","0.5","""588582137""","1821.8097979484153","1821.8097979484153","1821.8097979484153","0","1821.8097979484153"
"1","89","250","3","0.527","0.66","35","26","2","1","48","0.1","15","179","20","0.01","8","0.5","""1778428181""","1445.2629770751728","1445.2629770751728","1445.2629770751728","0","1445.2629770751728"
"1","90","250","3","0.527","0.66","35","26","2","1","48","0.1","15","179","20","0.01","8","0.5","""1304161368""","1226.625402220747","1226.625402220747","1226.625402220747","0","1226.625402220747"
"1","91","250","3","0.527","0.66","35","18","2","2","48","0.1","15","52","20","0.01","8","0.5","""-1508935828""","2464.6886229528523","2464.6886229528523","2464.6886229528523","0","2464.6886229528523"
"1","92","250","3","0.527","0.66","35","18","2","2","48","0.1","15","52","20","0.01","8","0.5","""1943964449""","1805.0196497551656","1805.0196497551656","1805.0196497551656","0","1805.0196497551656"
"1","93","250","3","0.527","0.66","35","18","2","2","48","0.1","15","52","20","0.01","8","0.5","""-1272674686""","1174.3122731533629","1174.3122731533629","1174.3122731533629","0","1174.3122731533629"
"1","94","250","3","0.527","0.66","35","18","2","2","48","0.1","15","52","20","0.01","8","0.5","""176327647""","1140.1102165469392","1140.1102165469392","1140.1102165469392","0","1140.1102165469392"
"1","95","250","3","0.527","0.66","35","18","2","2","48","0.1","15","52","20","0.01","8","0.5","""-1443100019""","1672.713528323659","1672.713528323659","1672.713528323659","0","1672.713528323659"
"1","96","250","3","0.527","0.66","35","50","2","1","48","0.1","15","136","20","0.01","8","0.5","""-512589281""","1593.4610951192017","1593.4610951192017","1593.4610951192017","0","1593.4610951192017"
"1","97","250","3","0.527","0.66","35","50","2","1","48","0.1","15","136","20","0.01","8","0.5","""-1000287330""","1033.2576930725381","1033.2576930725381","1033.2576930725381","0","1033.2576930725381"
"1","98","250","3","0.527","0.66","35","50","2","1","48","0.1","15","136","20","0.01","8","0.5","""-1020792084""","1273.455462249496","1273.455462249496","1273.455462249496","0","1273.455462249496"
"1","99","250","3","0.527","0.66","35","50","2","1","48","0.1","15","136","20","0.01","8","0.5","""-175383109""","1141.2900763992657","1141.2900763992657","1141.2900763992657","0","1141.2900763992657"
"1","100","250","3","0.527","0.66","35","50","2","1","48","0.1","15","136","20","0.01","8","0.5","""353950439""","1680.5703665392073","1680.5703665392073","1680.5703665392073","0","1680.5703665392073"
"1","101","250","3","0.527","0.66","35","32","2","1","48","0.1","15","158","20","0.01","8","0.5","""-2122811905""","4118.732154812121","4118.732154812121","4118.732154812121","0","4118.732154812121"
"1","102","250","3","0.527","0.66","35","32","2","1","48","0.1","15","158","20","0.01","8","0.5","""1560364728""","1744.28495225573","1744.28495225573","1744.28495225573","0","1744.28495225573"
"1","103","250","3","0.527","0.66","35","32","2","1","48","0.1","15","158","20","0.01","8","0.5","""-2076568657""","849.1126190159575","849.1126190159575","849.1126190159575","0","849.1126190159575"
"1","104","250","3","0.527","0.66","35","32","2","1","48","0.1","15","158","20","0.01","8","0.5","""83225815""","2261.9487758259725","2261.9487758259725","2261.9487758259725","0","2261.9487758259725"
"1","105","250","3","0.527","0.66","35","32","2","1","48","0.1","15","158","20","0.01","8","0.5","""-287370882""","2391.395102203142","2391.395102203142","2391.395102203142","0","2391.395102203142"
"1","106","250","3","0.527","0.66","35","30","2","1","48","0.1","15","20","20","0.01","8","0.5","""-127112320""","99.55385608676671","99.55385608676671","99.55385608676671","0","99.55385608676671"
"1","107","250","3","0.527","0.66","35","30","2","1","48","0.1","15","20","20","0.01","8","0.5","""-294881302""","89.83326425536012","89.83326425536012","89.83326425536012","0","89.83326425536012"
"1","108","250","3","0.527","0.66","35","30","2","1","48","0.1","15","20","20","0.01","8","0.5","""-964443283""","37.36055737221159","37.36055737221159","37.36055737221159","0","37.36055737221159"
"1","109","250","3","0.527","0.66","35","30","2","1","48","0.1","15","20","20","0.01","8","0.5","""622592980""","56.67497096819733","56.67497096819733","56.67497096819733","0","56.67497096819733"
"1","110","250","3","0.527","0.66","35","30","2","1","48","0.1","15","20","20","0.01","8","0.5","""1792324621""","-175.69971939382532","-175.69971939382532","-175.69971939382532","0","-175.69971939382532"
"1","111","250","3","0.527","0.66","35","12","2","2","48","0.1","15","10","20","0.01","8","0.5","""-627941331""","-282.78261180141345","-282.78261180141345","-282.78261180141345","0","-282.78261180141345"
"1","112","250","3","0.527","0.66","35","12","2","2","48","0.1","15","10","20","0.01","8","0.5","""-847353632""","-299.9854370678314","-299.9854370678314","-299.9854370678314","0","-299.9854370678314"
"1","113","250","3","0.527","0.66","35","12","2","2","48","0.1","15","10","20","0.01","8","0.5","""-147674328""","-294.721582278287","-294.721582278287","-294.721582278287","0","-294.721582278287"
"1","114","250","3","0.527","0.66","35","12","2","2","48","0.1","15","10","20","0.01","8","0.5","""-1309465515""","-267.3970367398794","-267.3970367398794","-267.3970367398794","0","-267.3970367398794"
