"search-number","evaluation","evals-requested-so-far","number-of-cars*","mean_acceleration*","mean-deceleration*","max-patience*","distance-between-nodes*","number-of-lanes*","length-of-node*","cars-per-mile-mean*","sec-per-tick*","feet-per-unit*","node-power-output*","ev-density-percent*","crr*","electricity-cost*","cda*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","23","500","3","0.527","0.66","35","20","2","2","48","0.1","15","54","20","0.01","8","0.5","""552486532""","97.9676723108563","97.9676723108563","97.9676723108563","0","97.9676723108563"
"1","24","500","3","0.527","0.66","35","20","2","2","48","0.1","15","54","20","0.01","8","0.5","""-810638158""","891.7485422469192","891.7485422469192","891.7485422469192","0","891.7485422469192"
"1","25","500","3","0.527","0.66","35","20","2","2","48","0.1","15","54","20","0.01","8","0.5","""-2110265720""","393.3490676662881","393.3490676662881","393.3490676662881","0","393.3490676662881"
"1","26","500","3","0.527","0.66","35","20","2","2","48","0.1","15","54","20","0.01","8","0.5","""-374985811""","2108.5581947537526","2108.5581947537526","2108.5581947537526","0","2108.5581947537526"
"1","27","500","3","0.527","0.66","35","20","2","2","48","0.1","15","54","20","0.01","8","0.5","""-580931903""","-772.842991684036","-772.842991684036","-772.842991684036","0","-772.842991684036"
"1","28","500","3","0.527","0.66","35","20","2","2","48","0.1","15","54","20","0.01","8","0.5","""-790976681""","-1358.3225447385803","-1358.3225447385803","-1358.3225447385803","0","-1358.3225447385803"
"1","29","500","3","0.527","0.66","35","20","2","2","48","0.1","15","54","20","0.01","8","0.5","""-1120665465""","1297.2318873450247","1297.2318873450247","1297.2318873450247","0","1297.2318873450247"
"1","30","500","3","0.527","0.66","35","20","2","2","48","0.1","15","54","20","0.01","8","0.5","""1168795237""","44.47364862454856","44.47364862454856","44.47364862454856","0","44.47364862454856"
"1","31","500","3","0.527","0.66","35","32","2","1","48","0.1","15","123","20","0.01","8","0.5","""183370419""","1118.7606555387424","1118.7606555387424","1118.7606555387424","0","1118.7606555387424"
"1","32","500","3","0.527","0.66","35","32","2","1","48","0.1","15","123","20","0.01","8","0.5","""-699322428""","712.4641266301016","712.4641266301016","712.4641266301016","0","712.4641266301016"
"1","33","500","3","0.527","0.66","35","32","2","1","48","0.1","15","123","20","0.01","8","0.5","""217368612""","1713.5352467620423","1713.5352467620423","1713.5352467620423","0","1713.5352467620423"
"1","34","500","3","0.527","0.66","35","32","2","1","48","0.1","15","123","20","0.01","8","0.5","""-532895508""","1528.8726938278314","1528.8726938278314","1528.8726938278314","0","1528.8726938278314"
"1","35","500","3","0.527","0.66","35","32","2","1","48","0.1","15","123","20","0.01","8","0.5","""1672035876""","1175.9684504050858","1175.9684504050858","1175.9684504050858","0","1175.9684504050858"
