"search-number","evaluation","evals-requested-so-far","number-of-cars*","mean_acceleration*","mean-deceleration*","max-patience*","distance-between-nodes*","number-of-lanes*","length-of-node*","cars-per-mile-mean*","sec-per-tick*","feet-per-unit*","node-power-output*","ev-density-percent*","crr*","electricity-cost*","cda*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","151","250","3","0.527","0.66","35","26","2","1","48","0.1","15","81","20","0.01","8","0.5","""1291567641""","-302.16442495011967","-302.16442495011967","-302.16442495011967","0","-302.16442495011967"
"1","152","250","3","0.527","0.66","35","26","2","1","48","0.1","15","81","20","0.01","8","0.5","""-417559804""","1184.6811930657743","1184.6811930657743","1184.6811930657743","0","1184.6811930657743"
"1","153","250","3","0.527","0.66","35","26","2","1","48","0.1","15","81","20","0.01","8","0.5","""878282881""","714.8526575184565","714.8526575184565","714.8526575184565","0","714.8526575184565"
"1","154","250","3","0.527","0.66","35","26","2","1","48","0.1","15","81","20","0.01","8","0.5","""-620039126""","482.26802493231776","482.26802493231776","482.26802493231776","0","482.26802493231776"
"1","155","250","3","0.527","0.66","35","26","2","1","48","0.1","15","81","20","0.01","8","0.5","""-801100508""","416.445721502874","416.445721502874","416.445721502874","0","416.445721502874"
"1","156","250","3","0.527","0.66","35","32","2","3","48","0.1","15","150","20","0.01","8","0.5","""-1540911039""","4044.736588749848","4044.736588749848","4044.736588749848","0","4044.736588749848"
"1","157","250","3","0.527","0.66","35","32","2","3","48","0.1","15","150","20","0.01","8","0.5","""-1088008773""","3426.350651903003","3426.350651903003","3426.350651903003","0","3426.350651903003"
"1","158","250","3","0.527","0.66","35","32","2","3","48","0.1","15","150","20","0.01","8","0.5","""-414341901""","5386.333417355705","5386.333417355705","5386.333417355705","0","5386.333417355705"
"1","159","250","3","0.527","0.66","35","32","2","3","48","0.1","15","150","20","0.01","8","0.5","""-838315412""","5217.262582471799","5217.262582471799","5217.262582471799","0","5217.262582471799"
"1","160","250","3","0.527","0.66","35","32","2","3","48","0.1","15","150","20","0.01","8","0.5","""1283139634""","4744.711251420155","4744.711251420155","4744.711251420155","0","4744.711251420155"
"1","161","250","3","0.527","0.66","35","50","2","3","48","0.1","15","71","20","0.01","8","0.5","""1191815105""","1110.4077727052972","1110.4077727052972","1110.4077727052972","0","1110.4077727052972"
"1","162","250","3","0.527","0.66","35","50","2","3","48","0.1","15","71","20","0.01","8","0.5","""-1731478239""","3444.9434982955904","3444.9434982955904","3444.9434982955904","0","3444.9434982955904"
"1","163","250","3","0.527","0.66","35","50","2","3","48","0.1","15","71","20","0.01","8","0.5","""-2133205317""","2395.7149022842946","2395.7149022842946","2395.7149022842946","0","2395.7149022842946"
"1","164","250","3","0.527","0.66","35","50","2","3","48","0.1","15","71","20","0.01","8","0.5","""284584274""","577.9137997928804","577.9137997928804","577.9137997928804","0","577.9137997928804"
"1","165","250","3","0.527","0.66","35","50","2","3","48","0.1","15","71","20","0.01","8","0.5","""-1654202630""","2756.45891784752","2756.45891784752","2756.45891784752","0","2756.45891784752"
"1","166","250","3","0.527","0.66","35","46","2","1","48","0.1","15","149","20","0.01","8","0.5","""-981485611""","2816.522714168217","2816.522714168217","2816.522714168217","0","2816.522714168217"
"1","167","250","3","0.527","0.66","35","46","2","1","48","0.1","15","149","20","0.01","8","0.5","""557740646""","971.5535258741438","971.5535258741438","971.5535258741438","0","971.5535258741438"
"1","168","250","3","0.527","0.66","35","46","2","1","48","0.1","15","149","20","0.01","8","0.5","""404366718""","7.531909675044176","7.531909675044176","7.531909675044176","0","7.531909675044176"
"1","169","250","3","0.527","0.66","35","46","2","1","48","0.1","15","149","20","0.01","8","0.5","""1783712258""","1443.6941582126808","1443.6941582126808","1443.6941582126808","0","1443.6941582126808"
"1","170","250","3","0.527","0.66","35","46","2","1","48","0.1","15","149","20","0.01","8","0.5","""-270789508""","-199.25707487240714","-199.25707487240714","-199.25707487240714","0","-199.25707487240714"
"1","171","250","3","0.527","0.66","35","22","2","1","48","0.1","15","163","20","0.01","8","0.5","""1994220323""","1927.2510124372977","1927.2510124372977","1927.2510124372977","0","1927.2510124372977"
"1","172","250","3","0.527","0.66","35","22","2","1","48","0.1","15","163","20","0.01","8","0.5","""1017815331""","2306.9318162560603","2306.9318162560603","2306.9318162560603","0","2306.9318162560603"
